sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
3232249958,3232249957,443,37542,6,4,1766,27,0.007
3232249957,3232249958,37544,443,6,6,867,27,0.005
3232249958,3232249957,443,37544,6,5,1818,27,0.005
3232249957,3232249958,37546,443,6,7,919,27,0.005
3232249958,3232249957,443,37546,6,4,1766,27,0.005
3232249957,3232249958,37548,443,6,7,919,27,0.003
3232249958,3232249957,443,37548,6,4,1766,27,0.003
3232249957,3232249958,37526,443,6,38,13535,30,23.030
3232249958,3232249957,443,37526,6,21,35845,27,23.030
3232249957,3232249958,37550,443,6,7,919,27,0.006
3232249958,3232249957,443,37550,6,4,1766,27,0.005
3232249957,3232249958,37552,443,6,7,919,27,0.004
3232249958,3232249957,443,37552,6,4,1766,27,0.004
3232249957,3232249958,37556,443,6,7,966,27,0.006
3232249958,3232249957,443,37556,6,4,456,27,0.006
3232249957,3232249958,37558,443,6,7,966,27,0.004
3232249958,3232249957,443,37558,6,4,456,27,0.004
3232249957,3232249958,37554,443,6,18,4506,30,7.967
3232249958,3232249957,443,37554,6,11,9654,27,7.967
3232249957,3232249958,37560,443,6,6,867,27,0.011
3232249958,3232249957,443,37560,6,5,1818,27,0.011
3232249957,3232249958,37562,443,6,7,919,27,0.015
3232249958,3232249957,443,37562,6,4,1766,27,0.015
3232249957,3232249958,37566,443,6,7,966,27,0.010
3232249958,3232249957,443,37566,6,4,456,27,0.010
3232249957,3232249958,37278,443,6,1,52,16,0.000
3232249957,3232249958,37568,443,6,7,966,27,0.004
3232249958,3232249957,443,37568,6,4,456,27,0.004
3232249957,3232249958,37570,443,6,7,919,27,0.007
3232249958,3232249957,443,37570,6,4,1766,27,0.007
3232249957,3232249958,37572,443,6,7,919,27,0.008
3232249958,3232249957,443,37572,6,4,1766,27,0.008
3232249957,3232249958,37574,443,6,6,867,27,0.005
3232249958,3232249957,443,37574,6,5,1818,27,0.005
3232249957,3232249958,37564,443,6,24,7317,30,12.504
3232249958,3232249957,443,37564,6,14,19196,27,12.504
3232249957,3232249958,37292,443,6,1,52,16,0.000
3232249857,4026531834,53539,1900,17,4,808,0,3.003
3232249957,3232249958,37576,443,6,7,919,27,0.005
3232249958,3232249957,443,37576,6,4,1766,27,0.005
3232249957,3232249958,37578,443,6,6,867,27,0.004
3232249958,3232249957,443,37578,6,5,1818,27,0.004
3232249957,3232249958,37582,443,6,8,1018,27,0.053
3232249958,3232249957,443,37582,6,5,520,27,0.053
3232249957,3232249958,37584,443,6,6,914,27,0.005
3232249958,3232249957,443,37584,6,5,508,27,0.005
3232249957,3232249958,37586,443,6,7,919,27,0.006
3232249958,3232249957,443,37586,6,4,1766,27,0.006
3232249957,3232249958,37588,443,6,6,867,27,0.005
3232249958,3232249957,443,37588,6,5,1818,27,0.005
3232249957,3232249958,37590,443,6,6,867,27,0.006
3232249958,3232249957,443,37590,6,5,1818,27,0.006
3232249957,3232249958,37580,443,6,24,7209,30,12.079
3232249958,3232249957,443,37580,6,14,16198,27,12.079
3232249957,3232249958,37300,443,6,1,52,16,0.000
3232249957,3232249958,37302,443,6,1,52,16,0.000
3232249958,3758096635,5353,5353,17,2,219,0,230.069
3232249957,3232249958,37592,443,6,7,919,27,0.007
3232249958,3232249957,443,37592,6,4,1766,27,0.007
3232249957,3232249958,37594,443,6,7,919,27,0.004
3232249958,3232249957,443,37594,6,4,1766,27,0.004
3232249957,3232249958,37598,443,6,7,966,27,0.004
3232249958,3232249957,443,37598,6,4,456,27,0.004
3232249957,3232249958,37600,443,6,7,966,27,0.003
3232249958,3232249957,443,37600,6,4,456,27,0.003
3232249957,4026531834,47607,1900,17,4,776,0,3.018
3232249957,3232249958,37602,443,6,7,919,27,0.005
3232249958,3232249957,443,37602,6,4,1766,27,0.005
3232249957,3232249958,37604,443,6,7,919,27,0.007
3232249958,3232249957,443,37604,6,4,1766,27,0.007
3232249957,3232249958,37606,443,6,6,867,27,0.004
3232249958,3232249957,443,37606,6,5,1818,27,0.004
3232249957,3232249958,37608,443,6,7,919,27,0.007
3232249958,3232249957,443,37608,6,4,1766,27,0.007
3232249957,3232249958,37610,443,6,7,919,27,0.011
3232249958,3232249957,443,37610,6,4,1766,27,0.011
3232249957,3232249958,37612,443,6,7,919,27,0.008
3232249958,3232249957,443,37612,6,4,1766,27,0.008
3232249957,3232249958,37614,443,6,7,919,27,0.007
3232249958,3232249957,443,37614,6,4,1766,27,0.007
3232249957,3232249958,37616,443,6,7,919,27,0.004
3232249958,3232249957,443,37616,6,4,1766,27,0.004
3232249957,3232249958,37618,443,6,6,867,27,0.007
3232249958,3232249957,443,37618,6,5,1818,27,0.007
3232249957,3232249958,37596,443,6,42,14805,30,23.852
3232249958,3232249957,443,37596,6,23,34232,27,23.852
3232249957,3232249958,37620,443,6,6,867,27,0.004
3232249958,3232249957,443,37620,6,5,1818,27,0.004
3232249957,3232249958,37622,443,6,6,867,27,0.003
3232249958,3232249957,443,37622,6,5,1818,27,0.003
3232249957,3232249958,37626,443,6,7,966,27,0.019
3232249958,3232249957,443,37626,6,4,456,27,0.019
3232249957,3232249958,37628,443,6,7,966,27,0.004
3232249958,3232249957,443,37628,6,4,456,27,0.004
3232249957,3232249958,37630,443,6,7,919,27,0.006
3232249958,3232249957,443,37630,6,4,1766,27,0.006
3232249957,3232249958,37632,443,6,7,919,27,0.005
3232249958,3232249957,443,37632,6,4,1766,27,0.005
3232249957,3232249958,37634,443,6,7,919,27,0.005
3232249958,3232249957,443,37634,6,4,1766,27,0.005
3232249957,3232249958,37624,443,6,24,7253,30,21.845
3232249958,3232249957,443,37624,6,14,16120,27,21.845
3232249957,3232249958,37342,443,6,1,52,16,0.000
3232249957,3232249958,37636,443,6,7,919,27,0.006
3232249958,3232249957,443,37636,6,4,1766,27,0.006
3232249957,3232249958,37638,443,6,6,867,27,0.005
3232249958,3232249957,443,37638,6,5,1818,27,0.005
3232249957,3232249958,37642,443,6,7,966,27,0.004
3232249958,3232249957,443,37642,6,4,456,27,0.004
3232249957,3232249958,37644,443,6,7,966,27,0.008
3232249958,3232249957,443,37644,6,4,456,27,0.008
3232249957,3232249958,37646,443,6,6,867,27,0.009
3232249958,3232249957,443,37646,6,5,1818,27,0.009
3232249957,3232249958,37648,443,6,7,919,27,0.004
3232249958,3232249957,443,37648,6,4,1766,27,0.004
3232249957,3232249958,37650,443,6,6,867,27,0.010
3232249958,3232249957,443,37650,6,5,1818,27,0.010
3232249957,3232249958,37652,443,6,7,919,27,0.013
