id,sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
1,3232249857,3758096636,64067,5355,17,2,100,0,0.412
1,3232249857,3758096635,5353,5353,17,32,1792,0,85.866
1,3232249857,3232250111,137,137,17,12,936,0,86.345
1,3232249957,3232249958,37462,443,6,24,7345,30,11.997
1,3232249958,3232249957,443,37462,6,14,19125,27,11.997
1,3232249957,3232249958,37474,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37474,6,4,1766,27,0.007
1,3232249957,3232249958,37476,443,6,6,867,27,0.007
1,3232249958,3232249957,443,37476,6,5,1818,27,0.007
1,3232249957,3232249958,37480,443,6,7,966,27,0.005
1,3232249958,3232249957,443,37480,6,4,456,27,0.005
1,3232249957,3232249958,37482,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37482,6,4,456,27,0.003
1,3232249957,3232249958,37478,443,6,18,4584,30,27.890
1,3232249958,3232249957,443,37478,6,11,9654,27,27.890
1,3232249957,3232249958,37484,443,6,7,919,27,0.011
1,3232249958,3232249957,443,37484,6,4,1766,27,0.011
1,3232249957,3232249958,37486,443,6,6,867,27,0.010
1,3232249958,3232249957,443,37486,6,5,1818,27,0.010
1,3232249957,4026531834,59363,1900,17,4,776,0,3.009
1,3232249957,3758096406,0,0,2,6,240,0,139.988
1,3232249957,3232249958,37192,443,6,1,52,16,0.000
1,3232249957,3758096635,5353,5353,17,6,408,0,142.149
1,3232249957,3232249958,37490,443,6,7,966,27,0.006
1,3232249958,3232249957,443,37490,6,4,456,27,0.006
1,3232249957,3232249958,37492,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37492,6,4,456,27,0.003
1,3232249957,3232249958,37488,443,6,18,4654,30,15.724
1,3232249958,3232249957,443,37488,6,11,12666,27,15.724
1,3232249957,3232249958,37494,443,6,6,867,27,0.006
1,3232249958,3232249957,443,37494,6,5,1818,27,0.006
1,3232249957,3232249958,37496,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37496,6,4,1766,27,0.003
1,3232249957,3232249958,37200,443,6,1,52,16,0.000
1,3232249957,3232249958,37212,443,6,1,52,16,0.000
1,3232249957,3232249958,37500,443,6,6,914,27,0.012
1,3232249958,3232249957,443,37500,6,5,508,27,0.012
1,3232249957,3232249958,37502,443,6,7,966,27,0.007
1,3232249958,3232249957,443,37502,6,4,456,27,0.007
1,3232249957,3232249958,37504,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37504,6,4,1766,27,0.005
1,3232249957,3232249958,37506,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37506,6,4,1766,27,0.004
1,3232249957,3232249958,37508,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37508,6,4,1766,27,0.006
1,3232249957,3232249958,37510,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37510,6,4,1766,27,0.005
1,3232249957,3232249958,37512,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37512,6,5,1818,27,0.005
1,3232249957,3232249958,37514,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37514,6,4,1766,27,0.004
1,3232249957,3232249958,37236,443,6,1,52,16,0.000
1,3232249957,3232249958,37516,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37516,6,4,1766,27,0.006
1,3232249957,3232249958,37518,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37518,6,4,1766,27,0.004
1,3232249957,3232249958,37520,443,6,7,919,27,0.027
1,3232249958,3232249957,443,37520,6,4,1766,27,0.027
1,3232249957,3232249958,37498,443,6,40,14153,30,30.435
1,3232249958,3232249957,443,37498,6,22,33576,27,30.435
1,3232249957,3232249958,37522,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37522,6,4,1766,27,0.007
1,3232249957,3232249958,37524,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37524,6,5,1818,27,0.005
1,3232249957,3232249958,37528,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37528,6,4,456,27,0.003
1,3232249957,3232249958,37530,443,6,7,966,27,0.008
1,3232249958,3232249957,443,37530,6,4,456,27,0.008
1,3232249957,3232249958,37532,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37532,6,4,1766,27,0.007
1,3232249957,3232249958,37534,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37534,6,4,1766,27,0.006
1,3232249957,3232249958,37536,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37536,6,4,1766,27,0.004
1,3232249957,3232249958,37538,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37538,6,4,1766,27,0.005
1,3232249957,3232249958,37540,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37540,6,4,1766,27,0.004
1,3232249957,3232249958,37256,443,6,1,52,16,0.000
1,3232249957,3232249958,37542,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37542,6,4,1766,27,0.007
1,3232249957,3232249958,37544,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37544,6,5,1818,27,0.005
1,3232249957,3232249958,37546,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37546,6,4,1766,27,0.005
1,3232249957,3232249958,37548,443,6,7,919,27,0.003
1,3232249958,3232249957,443,37548,6,4,1766,27,0.003
1,3232249957,3232249958,37526,443,6,38,13535,30,23.030
1,3232249958,3232249957,443,37526,6,21,35845,27,23.030
1,3232249957,3232249958,37550,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37550,6,4,1766,27,0.005
1,3232249957,3232249958,37552,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37552,6,4,1766,27,0.004
1,3232249957,3232249958,37556,443,6,7,966,27,0.006
1,3232249958,3232249957,443,37556,6,4,456,27,0.006
1,3232249957,3232249958,37558,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37558,6,4,456,27,0.004
1,3232249957,3232249958,37554,443,6,18,4506,30,7.967
1,3232249958,3232249957,443,37554,6,11,9654,27,7.967
1,3232249957,3232249958,37560,443,6,6,867,27,0.011
1,3232249958,3232249957,443,37560,6,5,1818,27,0.011
1,3232249957,3232249958,37562,443,6,7,919,27,0.015
1,3232249958,3232249957,443,37562,6,4,1766,27,0.015
1,3232249957,3232249958,37566,443,6,7,966,27,0.010
1,3232249958,3232249957,443,37566,6,4,456,27,0.010
1,3232249957,3232249958,37278,443,6,1,52,16,0.000
1,3232249957,3232249958,37568,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37568,6,4,456,27,0.004
1,3232249957,3232249958,37570,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37570,6,4,1766,27,0.007
1,3232249957,3232249958,37572,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37572,6,4,1766,27,0.008
1,3232249957,3232249958,37574,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37574,6,5,1818,27,0.005
1,3232249957,3232249958,37564,443,6,24,7317,30,12.504
1,3232249958,3232249957,443,37564,6,14,19196,27,12.504
1,3232249957,3232249958,37292,443,6,1,52,16,0.000
1,3232249857,4026531834,53539,1900,17,4,808,0,3.003
1,3232249957,3232249958,37576,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37576,6,4,1766,27,0.005
1,3232249957,3232249958,37578,443,6,6,867,27,0.004
1,3232249958,3232249957,443,37578,6,5,1818,27,0.004
1,3232249957,3232249958,37582,443,6,8,1018,27,0.053
1,3232249958,3232249957,443,37582,6,5,520,27,0.053
1,3232249957,3232249958,37584,443,6,6,914,27,0.005
1,3232249958,3232249957,443,37584,6,5,508,27,0.005
1,3232249957,3232249958,37586,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37586,6,4,1766,27,0.006
1,3232249957,3232249958,37588,443,6,6,867,27,0.005
1,3232249958,3232249957,443,37588,6,5,1818,27,0.005
1,3232249957,3232249958,37590,443,6,6,867,27,0.006
1,3232249958,3232249957,443,37590,6,5,1818,27,0.006
1,3232249957,3232249958,37580,443,6,24,7209,30,12.079
1,3232249958,3232249957,443,37580,6,14,16198,27,12.079
1,3232249957,3232249958,37300,443,6,1,52,16,0.000
1,3232249957,3232249958,37302,443,6,1,52,16,0.000
1,3232249958,3758096635,5353,5353,17,2,219,0,230.069
1,3232249957,3232249958,37592,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37592,6,4,1766,27,0.007
1,3232249957,3232249958,37594,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37594,6,4,1766,27,0.004
1,3232249957,3232249958,37598,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37598,6,4,456,27,0.004
1,3232249957,3232249958,37600,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37600,6,4,456,27,0.003
1,3232249957,4026531834,47607,1900,17,4,776,0,3.018
1,3232249957,3232249958,37602,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37602,6,4,1766,27,0.005
1,3232249957,3232249958,37604,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37604,6,4,1766,27,0.007
